Name,Address,Type,Description,Image_URL
"Central Library","500 W 7th St, Fort Worth, TX 76102",Cultural,"This beautiful library downtown is one of my favorite places to study and explore. The architecture is stunning and it has an amazing collection of resources.","https://images.unsplash.com/photo-1481627834876-b7833e8f5570?w=800"
"Sundance Square","Sundance Square, Fort Worth, TX 76102",Recreation,"The heart of downtown Fort Worth with great restaurants, shops, and entertainment. Perfect place to spend an afternoon or evening.","https://images.unsplash.com/photo-1519501025264-65ba15a82390?w=800"
"Fort Worth Botanic Garden","3220 Botanic Garden Blvd, Fort Worth, TX 76107",Park,"One of the most peaceful places in Fort Worth. The Japanese Garden is absolutely stunning and perfect for reflection and photography.","https://images.unsplash.com/photo-1585320806297-9794b3e4eeae?w=800"
"Joe T Garcia's","2201 N Commerce St, Fort Worth, TX 76106",Restaurant,"Family-owned Mexican restaurant that's been a Fort Worth institution since 1935. The outdoor patio is perfect for warm evenings and the atmosphere can't be beat.","https://images.unsplash.com/photo-1555939594-58d7cb561ad1?w=800"
"Fort Worth Water Gardens","1502 Commerce St, Fort Worth, TX 76102",Park,"An architectural masterpiece and incredible urban park. The active pool with cascading water is mesmerizing and a great place to cool off in summer.","https://images.unsplash.com/photo-1544306094-e2dcf9479da3?w=800"
"Kimbell Art Museum","3333 Camp Bowie Blvd, Fort Worth, TX 76107",Cultural,"World-class art museum with stunning architecture by Louis Kahn. Free admission to the permanent collection makes art accessible to everyone.","https://images.unsplash.com/photo-1554907984-15263bfd63bd?w=800"
"Trinity Park","2401 University Dr, Fort Worth, TX 76107",Recreation,"My favorite place for running and outdoor activities. Great trails along the Trinity River and beautiful views of downtown.","https://images.unsplash.com/photo-1571863533956-01c88e79957e?w=800"
"Modern Art Museum","3200 Darnell St, Fort Worth, TX 76107",Cultural,"The Modern is an incredible contemporary art museum with a reflecting pool that makes for amazing photos. The exhibitions are always thought-provoking.","https://images.unsplash.com/photo-1567690187548-f07b1c9c4c6c?w=800"
"Fort Worth Stockyards","2501 Rodeo Plaza, Fort Worth, TX 76164",Historical,"Historic district that celebrates Fort Worth's cattle ranching heritage. The twice-daily cattle drive is a unique experience you can't find anywhere else.","https://images.unsplash.com/photo-1600298881974-6be191ceeda1?w=800"
"TCU Campus","2800 S University Dr, Fort Worth, TX 76129",Education,"The beautiful tree-lined campus where I'm studying. The mix of historic and modern buildings creates a perfect learning environment.","https://images.unsplash.com/photo-1562774053-701939374585?w=800"
"Magnolia Avenue","Magnolia Ave, Fort Worth, TX 76104",Recreation,"Hip neighborhood with locally-owned restaurants, coffee shops, and boutiques. The creative energy here represents Fort Worth's evolving culture.","https://images.unsplash.com/photo-1555396273-367ea4eb4db5?w=800"
"Fort Worth Zoo","1989 Colonial Pkwy, Fort Worth, TX 76110",Recreation,"One of the top zoos in the nation with incredible exhibits. The Museum of Living Art (MOLA) reptile house is a personal favorite.","https://images.unsplash.com/photo-1564349683136-77e08dba1ef7?w=800"
